candidate,seed,borough,held_out_start,AccHR,n_train_instances,run_fingerprint
42,42,Tower Hamlets,2023-07-15,0.8159722222222222,6,9d9fd1c4a102d93b
42,42,Tower Hamlets,2023-10-13,0.819047619047619,7,9d9fd1c4a102d93b
42,42,Tower Hamlets,2024-01-11,0.8285714285714285,8,9d9fd1c4a102d93b
42,42,Tower Hamlets,2024-04-10,0.7714285714285715,9,9d9fd1c4a102d93b
42,42,Tower Hamlets,2024-07-09,0.891025641025641,10,9d9fd1c4a102d93b
42,42,Tower Hamlets,2024-10-07,0.9097222222222222,11,9d9fd1c4a102d93b
1,1,Tower Hamlets,2023-07-15,0.6666666666666666,6,bbca97bdfd29245c
1,1,Tower Hamlets,2023-10-13,0.8333333333333333,7,bbca97bdfd29245c
1,1,Tower Hamlets,2024-01-11,0.7928571428571428,8,bbca97bdfd29245c
1,1,Tower Hamlets,2024-04-10,0.7178571428571429,9,bbca97bdfd29245c
1,1,Tower Hamlets,2024-07-09,0.9615384615384616,10,bbca97bdfd29245c
1,1,Tower Hamlets,2024-10-07,0.9513888888888888,11,bbca97bdfd29245c
7,7,Tower Hamlets,2023-07-15,0.7708333333333334,6,59cfa2b3ac0a2efb
